"ID";"BANKNAME";"BIC_CODE";"CERTIS";"CITY";"COMPLETEADDRESSTOAGREEMENT";"CRMDESC";"DIRECTDEBIT";"EXTRACTTRANSVALID";"JERRYRELEVANT";"MOBILITABANKA_GTI";"MOBILITABANKA_GTI_AJ";"MOBILITACERTIS";"MOBILITACITY";"MOBILITADEPARTMENT";"MOBILITAEMAIL";"MOBILITASTREETCOMBINED";"MOBILITAZIPCODE";"OHYPOORDER";"P360";"REGISTRATIONNUMBER";"STAT";"STREETCOMBINED";"VALUE";"ZIPCODE";"ENTRYORDER";"VALIDFROM";"VALIDTO"
"8030";"Volksbank Raiffeisenbank Nordoberpfalz eG poboèka Cheb";"GENOCZ21";"1";"Cheb";"Volksbank Raiffeisenbank Nordoberpfalz eG, sídlo: 95652 Waldsassen, Prinz Ludwig Str. 29, Spolková republika Nìmecko, jednající prostøednictvím Raiffeisenbank im Stiftland eG poboèka Cheb, od¹tìpný závod, sídlo: Cheb, Kubelíkova 4, PSÈ 350 02, IÈO: 00671126";"Raiffeisenbank im Stiftland";"1";"1";"0";"Volksbank Raiffeisenbank Nordoberpfalz";"Volksbank Raiffeisenbank Nordoberpfalz";"1";"Cheb";"Mobilita klientù";;"Kubelíkova 4";"350 02";"46";;"00671126";"Èeská republika";"Kubelíkova 4";"8030 Volksbank Raiffeisenbank Nordoberpfalz eG poboèka Cheb";"350 02";"48";"000101";"000101"
"8040";"Oberbank AG poboèka Èeská republika";"OBKLCZ2X";"1";"Èeské Budìjovice";"Oberbank AG, sídlo: A 4020 Linz, Untere Donaulände 28, Rakouská republika, zapsaná v knize firem vedené Zemským soudem Linz pod èíslem FN 79063 w, jednající prostøednictvím Oberbank AG poboèka Èeská republika, sídlo: Èeské Budìjovice, nám. Pøemysla Otakara II. 6/3, PSÈ 370 01, IÈO: 26080222";"Oberbank";"1";"1";"1";"Oberbank";"Oberbank";"1";"Èeské Budìjovice";"Mobilita klientù";"switching@oberbank.cz";"nám. Pøemysla Otakara II 6/3";"370 01";"38";;"26080222";"Èeská republika";"nám. Pøemysla Otakara II 6/3";"8040 Oberbank AG poboèka Èeská republika";"370 01";"49";"000101";"000101"
"8060";"Stavební spoøitelna Èeské spoøitelny, a.s.";;"1";"Praha 4";"Stavební spoøitelna Èeské spoøitelny, a.s., se sídlem: Antala Sta¹ka 1292/32, Praha 4, PSÈ 140 00, IÈ 60197609";;"0";"1";"0";"Stavební spoøitelny Èeské spoøitelny";"Stavební spoøitelna Èeské spoøitelny";;"Praha 4";"Mobilita klientù";;"Antala Sta¹ka 1292/32";"140 00";"50";;"60197609";"Èeská republika";"Antala Sta¹ka 1292/32";"8060 Stavební spoøitelna Èeské spoøitelny, a.s.";"140 00";"50";"000101";"000101"
"8090";"Èeská exportní banka, a.s.";"CZEECZPP";"1";"Praha 1";"Èeská exportní banka, a.s., se sídlem: Vodièkova 34/701, Praha 1, PSÈ 111 21, IÈ 63078333";;"0";"1";"0";"Èeské exportní banky";"Èeská exportní banka";;"Praha 1";"Mobilita klientù";;"Vodièkova 34/701";"111 21";"15";;"63078333";"Èeská republika";"Vodièkova 34/701";"8090 Èeská exportní banka, a.s.";"111 21";"51";"000101";"000101"
"8150";"HSBC Continental Europe, Czech Republic";"MIDLCZPP";"1";"Praha 1";"HSBC Continental Europe, Czech Republic, se sídlem: Na Florenci 2116/15, Praha 1, PSÈ 110 00, IÈ 07482728";"HSBC Bank";"1";"1";"1";"HSBC Bank";"HSBC Bank";;"Praha 1";"Kontaktní centrum (RSC) Ostrava";"cz.switching@hsbc.com";"Na Florenci 2116/15";"110 00";"29";;"07482728";"Èeská republika";"Na Florenci 2116/15";"8150 HSBC Continental Europe, Czech Republic";"110 00";"52";"000101";"000101"
"8190";"Sparkasse Oberlausitz-Niederschlesien";;"1";"Praha 1, Staré Mìsto";"Sparkasse Oberlausitz-Niederschlesien, Na pøíkopì 393/11, Praha 1, Nové Mìsto, PSÈ 110 00, IÈ 06474268";;"0";"0";"0";"Sparkasse Oberlausitz-Niederschlesien";"Sparkasse Oberlausitz-Niederschlesien";;"Praha 1, Staré Mìsto";;;"Na pøíkopì 393/11";"110 00";;;"06474268";"Èeská republika";"Na pøíkopì 393/11";"8190 Sparkasse Oberlausitz-Niederschlesien";"110 00";"78";"000101";"000101"
"8198";"FAS finance company s.r.o.";"FFCSCZP1";;"Praha 10, Vr¹ovice";"FAS finance company s.r.o., Bulharská 996/20, Praha 10, Vr¹ovice, PSÈ 101 00, IÈ 05531047";;"0";"0";"0";"FAS finance company";"FAS finance company";;"Praha 10, Vr¹ovice";;;"Bulharská 996/20";"101 00";;;"05531047";"Èeská republika";"Bulharská 996/20";"8198 FAS finance company s.r.o.";"101 00";"79";"000101";"000101"
"8199";"MoneyPolo Europe s.r.o.";"MOUSCZP2";;"Praha 13, Stodùlky";"MoneyPolo Europe s.r.o., Archeologická 2256/1, Praha 13, Stodùlky, PSÈ 155 00, IÈ 24803316";;"0";"0";"0";"MoneyPolo Europe";"MoneyPolo Europe";;"Praha 13, Stodùlky";;;"Archeologická 2256/1";"155 00";;;"24803316";"Èeská republika";"Archeologická 2256/1";"8199 MoneyPolo Europe s.r.o.";"155 00";"80";"000101";"000101"
"8200";"PRIVAT BANK der Raiffeisenlandesbank Oberösterreich Aktiengesellschaft, poboèka Èeská republika";;;"Praha 1, Staré Mìsto";"PRIVAT BANK AG der Raiffeisenlandesbank Oberösterreich, poboèka Èeská republika, se sídlem: Dlouhá 733/29, Praha 1, Staré Mìsto, PSÈ 110 00, IÈ 27184765";;"1";"0";"0";"PRIVAT BANK der Raiffeisenlandesbank Oberösterreich";"PRIVAT BANK der Raiffeisenlandesbank Oberösterreich";;"Praha 1, Staré Mìsto";"Mobilita klientù";;"Dlouhá 733/29";"110 00";"44";;"27184765";"Èeská republika";"Dlouhá 733/29";"8200 PRIVAT BANK der Raiffeisenlandesbank Oberösterreich Aktiengesellschaft, poboèka Èeská republika";"110 00";"53";"000101";"000101"
"8211";"Saxo Bank A/S, organizaèní slo¾ka";"SAXPCZP1";;"Praha 1";"Saxo Bank A/S, organizaèní slo¾ka, se sídlem: Husova 240/5, Praha 1, PSÈ 110 00, IÈ 28949587";"Saxo Bank A/S";"1";"1";"1";"Saxo Bank";"Saxo Bank";;"Praha 1";"Mobilita klientù";;"Husova 240/5";"110 00";"48";;"28949587";"Èeská republika";"Husova 240/5";"8211 Saxo Bank A/S, organizaèní slo¾ka";"110 00";"54";"000101";"000101"
"8215";"ALTERNATIVE PAYMENT SOLUTIONS, s.r.o.";;;"Praha 2, Nové Mìsto";"8215 ALTERNATIVE PAYMENT SOLUTIONS, s.r.o., Jeèná 2093/32a, Praha 2, Nové Mìsto, IÈ 05539323";;"0";"0";"0";"ALTERNATIVE PAYMENT SOLUTIONS";"ALTERNATIVE PAYMENT SOLUTIONS";;"Praha 2, Nové Mìsto";;;"Jeèná 2093/32a";"120 00";;;"05539323";"Èeská republika";"Jeèná 2093/32a";"8215 ALTERNATIVE PAYMENT SOLUTIONS, s.r.o.";"120 00";"67";"000101";"000101"
"8220";"Payment Execution s.r.o.";"PAERCZP1";;"Praha 5";"Payment Execution s.r.o., se sídlem: K Lochkovu 30/4, Praha 5, PSÈ 154 00, IÈ 02925664";;"0";"0";"0";"Payment Execution";"Payment Execution";;"Praha 5";"Mobilita klientù";;"K Lochkovu 30/4";"154 00";"39";;"02925664";"Èeská republika";"K Lochkovu 30/4";"8220 Payment Execution s.r.o.";"154 00";"55";"000101";"000101"
"8221";"Volksbank Löbau-Zittau eG, poboèka";;;"Praha 2, Vinohrady";"Volksbank Löbau-Zittau eG, jednající prostøednictvím Volksbank Löbau-Zittau eG, poboèka, sídlo: Praha 2, Americká 525/23, PSÈ 120 00, IÈO: 28742150";;"0";"0";"0";"Volksbank Löbau-Zittau";"Volksbank Löbau-Zittau";;"Praha 2, Vinohrady";"Mobilita klientù";;"Americká 525/23";"120 00";"53";;"28742150";"Èeská republika";"Americká 525/23";"8221 Volksbank Löbau-Zittau eG, poboèka";"120 00";"56";"000101";"000101"
"8225";"ORANGETRUST s.r.o.";;;"Praha 4, Nusle";"ORANGETRUST s.r.o., ©tìtkova 1001/5, Praha 4, Nusle,  PSÈ 140 00, IÈ 05422248";;"0";"0";"0";"ORANGETRUST";"ORANGETRUST";;"Praha 4, Nusle";;;"©tìtkova 1001/5";"140 00";;;"05422248";"Èeská republika";"©tìtkova 1001/5";"8225 ORANGETRUST s.r.o.";"140 00";"68";"000101";"000101"
"8230";"ABAPAY s.r.o.";;;"Praha 1";"ABAPAY s.r.o., se sídlem: Revoluèní 762/13, Praha 1, PSÈ 110 00, IÈ 29415152";;"0";"0";"0";"ABAPAY";"ABAPAY";;"Praha 1";"Mobilita klientù";;"Revoluèní 762/13";"110 00";"23";;"29415152";"Èeská republika";"Revoluèní 762/13";"8230 ABAPAY s.r.o.";"110 00";"57";"000101";"000101"
"8231";"Bank Gutmann Aktiengesellschaft, poboèka Èeská republika";;;"Praha 1";"Bank Gutmann Aktiengesellschaft, poboèka Èeská republika, se sídlem: Václavské námìstí 19, Praha 1, PSÈ 110 00, IÈ 24131768";"Bank Gutmann";"0";"0";"0";"Bank Gutmann Aktiengesellschaft";"Bank Gutmann Aktiengesellschaft";;"Praha 1";"Mobilita klientù";;"Václavské námìstí 19";"110 00";"6";;"24131768";"Èeská republika";"Václavské námìstí 19";"8231 Bank Gutmann Aktiengesellschaft, poboèka Èeská republika";"110 00";"58";"000101";"000101"
"8240";"Dru¾stevní zálo¾na Kredit, v likvidaci";;;"Praha 1";"Dru¾stevní zálo¾na Kredit, se sídlem: V celnici 1028/10, Praha 1, PSÈ 117 21, IÈ 64946649";;"0";"0";"0";"Dru¾stevní zálo¾ny Kredit, v likvidaci";"Dru¾stevní zálo¾na Kredit, v likvidaci";;"Praha 1";"Mobilita klientù";;"V celnici 1028/10";"117 21";"22";;"64946649";"Èeská republika";"V celnici 1028/10";"8240 Dru¾stevní zálo¾na Kredit, v likvidaci";"117 21";"59";"000101";"000101"
"8250";"Bank of China (CEE) Ltd. Prague Branch";"BKCHCZPP";"1";"Praha 1, Nové Mìsto";"Bank of China (CEE) Ltd. Prague Branch, se sídlem: Na Florenci 2116/15, Praha 1, Nové Mìsto, PSÈ 110 00, IÈ 04253434";;"0";"0";"1";"Bank of China";"Bank of China";;"Praha 1, Nové Mìsto";"Mobilita klientù";;"Na Florenci 2116/15";"110 00";"7";;"04253434";"Èeská republika";"Na Florenci 2116/15";"8250 Bank of China (CEE) Ltd. Prague Branch";"110 00";"60";"000101";"000101"
"8255";"Bank of Communications Co., Ltd., Prague Branch od¹tìpný závod";"COMMCZPP";"1";"Praha 8, Karlín";"Bank of Communications Co., Ltd., Prague Branch od¹tìpný závod, Rohanské nábøe¾í 693/10, Praha 8, Karlín, PSÈ 186 00, IÈ 07662645";;"0";"0";"1";"Bank of Communications";"Bank of Communications";;"Praha 8, Karlín";;;"Rohanské nábøe¾í 693/10";"186 00";;;"07662645";"Èeská republika";"Rohanské nábøe¾í 693/10";"8255 Bank of Communications Co., Ltd., Prague Branch od¹tìpný závod";"186 00";"77";"000101";"000101"
"8260";"PAYMASTER a.s.";;;"Praha 4, Nusle";"PAYMASTER a.s., Na Pankráci 1003/53, Praha 4, Nusle,  PSÈ 140 00, IÈ 05690382";;"0";"0";"0";"PAYMASTER";"PAYMASTER";;"Praha 4, Nusle";;;"Na Pankráci 1003/53";"140 00";;;"05690382";"Èeská republika";"Na Pankráci 1003/53";"8260 PAYMASTER a.s.";"140 00";"63";"000101";"000101"
"8265";"Industrial and Commercial Bank of China Limited Prague Branch od¹tìpný závod";"ICBKCZPP";"1";"Praha 4, Nusle";"Industrial and Commercial Bank of China Limited Prague Branch od¹tìpný závod se sídlem: Na str¾i 1702/65, Praha 4, Nusle,  PSÈ 140 00, IÈ 05638216";;"0";"0";"1";"Industrial and Commercial Bank of China";"Industrial and Commercial Bank of China";;"Praha 4, Nusle";;;"Na str¾i 1702/65";"140 00";;;"05638216";"Èeská republika";"Na str¾i 1702/65";"8265 Industrial and Commercial Bank of China Limited Prague Branch od¹tìpný závod";"140 00";"61";"000101";"000101"
"8270";"Fairplay Pay s.r.o.";"FAPOCZP1";;"Praha 1, Staré Mìsto";"Fairplay Pay s.r.o., Revoluèní 762/13, Praha 1, Staré Mìsto, PSÈ 110 00, IÈ 05371775";;"0";"0";"0";"Fairplay Pay";"Fairplay Pay";;"Praha 1, Staré Mìsto";;;"Revoluèní 762/13";"110 00";;;"05371775";"Èeská republika";"Revoluèní 762/13";"8270 Fairplay Pay s.r.o.";"110 00";"64";"000101";"000101"
"8272";"VIVA PAYMENT SERVICES S.A. od¹tìpný závod";"VPAYCZP2";;"Praha 7, Hole¹ovice";"VIVA PAYMENT SERVICES S.A. od¹tìpný závod, Dìlnická 213/12, Praha 7, Hole¹ovice, PSÈ 170 00, IÈ 09003525";;"0";"0";"0";"VIVA PAYMENT SERVICES";"VIVA PAYMENT SERVICES";;"Praha 7, Hole¹ovice";;;"Dìlnická 213/12";"170 00";;;"09003525";"Èeská republika";"Dìlnická 213/12";"8272 VIVA PAYMENT SERVICES S.A. od¹tìpný závod";"170 00";"83";"000101";"000101"
"8280";"B-Efekt a.s.";"BEFKCZP1";;"Praha 2, Vinohrady";"B-Efekt a.s., Italská 1583/24, Praha 2, Vinohrady, PSÈ 120 00, IÈ 27245888";;"0";"0";"0";"B-Efekt";"B-Efekt";;"Praha 2, Vinohrady";;;"Italská 1583/24";"120 00";;;"27245888";"Èeská republika";"Italská 1583/24";"8280 B-Efekt a.s.";"120 00";"65";"000101";"000101"
"8282";"Beekash Payment Solutions, s.r.o.";;;"Praha 10, Vinohrady";"Beekash Payment Solutions, s.r.o., Korunní 2569/108, Praha 10, Vinohrady, PSÈ 101 00, IÈ 06279619";;"0";"0";"0";"Beekash Payment Solutions";"Beekash Payment Solutions";;"Praha 10, Vinohrady";;;"Korunní 2569/108";"101 00";;;"06279619";"Èeská republika";"Korunní 2569/108";"8282 Beekash Payment Solutions, s.r.o.";"101 00";"81";"000101";"000101"
"8283";"Qpay s.r.o.";"QPSRCZPP";;"Praha 4, Krè";"Qpay s.r.o., Antala Sta¹ka 1859/34, Praha 4, Krè, PSÈ 140 00, IÈ 05259894";;"0";"0";"0";"Qpay";"Qpay";;"Praha 4, Krè";;;"Antala Sta¹ka 1859/34";"140 00";;;"05259894";"Èeská republika";"Antala Sta¹ka 1859/34";"8283 Qpay s.r.o.";"140 00";"82";"000101";"000101"
"8290";"EUROPAY s.r.o.";;;"Praha 2, Nové Mìsto";"EUROPAY s.r.o., ®itná 1578/52,Praha 2, Nové Mìsto 120 00, IÈ 28435206";;"0";"0";"0";"EUROPAY";"EUROPAY";;"Praha 2, Nové Mìsto";;;"®itná 1578/52";"120 00";;;"28435206";"Èeská republika";"®itná 1578/52";"8290 EUROPAY s.r.o.";"120 00";"66";"000101";"000101"
"8291";"Business Credit s.r.o.";;;"Praha 5, Stodùlky";"Business Credit s.r.o., Za Mototechnou 1619, Praha 5, Stodùlky, PSÈ 155 00, IÈ 28081226";;"0";"0";"0";"Business Credit";"Business Credit";;"Praha 5, Stodùlky";;;"Za Mototechnou 1619,";"155 00";;;"28081226";"Èeská republika";"Za Mototechnou 1619,";"8291 Business Credit s.r.o.";"155 00";"69";"000101";"000101"
"8292";"Money Change s.r.o.";;;"Praha 9, Kyje";"Money Change s.r.o., Pelu¹ková 1443, Praha 9, Kyje, PSÈ 198 00, IÈ 27378527";;"0";"0";"0";"Money Change";"Money Change";;"Praha 9, Kyje";;;"Pelu¹ková 1443,";"198 00";;;"27378527";"Èeská republika";"Pelu¹ková 1443,";"8292 Money Change s.r.o.";"198 00";"70";"000101";"000101"
"8293";"Mercurius partners s.r.o.";"MRPSCZPP";;"Praha 2, Nové Mìsto";"Mercurius partners s.r.o., námìstí I. P. Pavlova 1785/3, Praha 2, Nové Mìsto, PSÈ 120 00, IÈ 05513031";;"0";"0";"0";"Mercurius partners";"Mercurius partners";;"Praha 2, Nové Mìsto";;;"námìstí I. P. Pavlova 1785/3";"120 00";;;"05513031";"Èeská republika";"námìstí I. P. Pavlova 1785/3";"8293 Mercurius partners s.r.o.";"120 00";"71";"000101";"000101"
"8294";"GrisPayUnion s.r.o.";;;"Praha 3, ®i¾kov";"GrisPayUnion s.r.o., Konìvova 2660/141, Praha 3, ®i¾kov, PSÈ 130 00, IÈ 06095771";;"0";"0";"0";"GrisPayUnion";"GrisPayUnion";;"Praha 3, ®i¾kov";;;"Konìvova 2660/141";"130 00";;;"06095771";"Èeská republika";"Konìvova 2660/141";"8294 GrisPayUnion s.r.o.";"130 00";"72";"000101";"000101"
"8295";"NOVARED s.r.o.";;;"Praha 10, Vinohrady";"NOVARED s.r.o., Korunní 2569/108, Praha 10, Vinohrady,  PSÈ 101 00, IÈ 06633943";;"0";"0";"0";"NOVARED";"NOVARED";;"Praha 10, Vinohrady";;;"Korunní 2569/108";"101 00";;;"06633943";"Èeská republika";"Korunní 2569/108";"8295 NOVARED s.r.o.";"101 00";"73";"000101";"000101"
"8296";"PaySysEU s.r.o.";;;"Praha 4, Krè";"PaySysEU s.r.o., Budìjovická 635/69, Praha 4, Krè, PSÈ 140 00, IÈ 02953137";;"0";"0";"0";"PaySysEU";"PaySysEU";;"Praha 4, Krè";;;"Budìjovická 635/69";"140 00";;;"02953137";"Èeská republika";"Budìjovická 635/69";"8296 PaySysEU s.r.o.";"140 00";"74";"000101";"000101"
"8297";"EUPSProvider s.r.o.";;;"Praha 1, Nové Mìsto";"EUPSProvider s.r.o., Køemencova 186/7, Praha 1, Nové Mìsto, PSÈ 110 00, IÈ 02226987";;"0";"0";"0";"EUPSProvider";"EUPSProvider";;"Praha 1, Nové Mìsto";;;"Køemencova 186/7";"110 00";;;"02226987";"Èeská republika";"Køemencova 186/7";"8297 EUPSProvider s.r.o.";"110 00";"75";"000101";"000101"
"8298";"Andraste Capital s.r.o.";;;"Praha 1, Nové Mìsto";"Andraste Capital s.r.o., Vodièkova 791/41, Praha 1, Nové Mìsto, PSÈ 110 00, IÈ 28233018";;"0";"0";"0";"Andraste Capital";"Andraste Capital";;"Praha 1, Nové Mìsto";;;"Vodièkova 791/41";"110 00";;;"28233018";"Èeská republika";"Vodièkova 791/41";"8298 Andraste Capital s.r.o.";"110 00";"76";"000101";"000101"
"8500";"Multitude Bank p.l.c.";;"1";;"ST Business Centre, 120, The Strand, Vzira, GZR 1027, Malta";;"0";"0";"0";"Multitude Bank p.l.c.";"Multitude Bank p.l.c.";;;;;;;;;;;;"8500 Multitude Bank p.l.c.";;"84";"000101";"000101"
